target,model,imputation_id,rmse,mae,nrmse,bias,da,rmse_rank_within_imputation,RMSE_mean,RMSE_min,RMSE_max,RMSE_std,MAE_mean,MAE_min,MAE_max,MAE_std,nRMSE_mean,nRMSE_min,nRMSE_max,nRMSE_std,Bias_mean,Bias_min,Bias_max,Bias_std,DA_mean,DA_min,DA_max,DA_std,headline_rmse,headline_mae,rank_min,rank_max,rank_stable_across_imputations,claim_stability_note
co2_emissions,RandomForest,m3,1030.2398891175133,245.42018012244895,2.59332229383655,105.63709092857142,47.704081632653065,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
co2_emissions,RandomForest,m4,1014.7020277575848,233.2948611122449,2.554210352347117,115.72728847959182,47.704081632653065,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
co2_emissions,RandomForest,m5,953.075613262022,238.48574190306124,2.3990841955279985,89.94599389285715,50.51020408163265,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
co2_emissions,ST-GRU,m1,1452.5852385656447,398.34543826763047,3.6310951519706105,398.34543826763047,46.33458646616541,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
co2_emissions,ST-GRU,m2,1452.579316320279,398.32515946917005,3.63108034785732,398.3250941577188,46.33458646616541,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
co2_emissions,ST-GRU,m3,1452.5933100937507,398.3716902176726,3.631115328746332,398.3716902176726,46.33458646616541,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
co2_emissions,ST-GRU,m4,1452.5849775680715,398.3417588647857,3.6310944995427894,398.3417588647857,46.33458646616541,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
co2_emissions,ST-GRU,m5,1452.5880882811898,398.3526994374948,3.6311022755376317,398.3526994374948,46.33458646616541,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
co2_emissions,LastValue,,,,,,,,75.19595606444906,75.19595606444906,75.19595606444906,0.0,18.179270153061225,18.179270153061225,18.179270153061225,0.0,0.18928343905935308,0.18928343905935308,0.18928343905935308,0.0,7.418152295918366,7.418152295918367,7.418152295918367,0.0,0.0,0.0,0.0,0.0,66.69013535354128,18.179270153061225,1.0,1.0,True,rank_stable
co2_emissions,MT-GRU,,,,,,,,1433.0159349010257,1432.8855041353236,1433.10493070708,0.08045682761584824,374.32404043690156,374.28571559107843,374.3731770859401,0.03767623597652976,3.582176867938256,3.581850824060874,3.5823993349116,0.00020112169008963026,321.79170844467507,321.1775447458477,322.1278926892612,0.37290544701696976,0.4642857142857143,0.4605263157894737,0.4718045112781955,0.004556090091556705,1409.2332786886818,374.3240414268092,4.0,4.0,True,rank_stable
co2_emissions,MovingAverage3,,,,,,,,135.76658145041935,135.76658145041935,135.76658145041935,0.0,30.09909022108844,30.09909022108844,30.09909022108844,0.0,0.34175196102622263,0.34175196102622263,0.34175196102622263,0.0,18.04625637755102,18.04625637755102,18.04625637755102,0.0,0.39285714285714285,0.39285714285714285,0.39285714285714285,0.0,122.8203000532234,30.099090221088424,2.0,2.0,True,rank_stable
co2_emissions,RandomForest,,,,,,,,1003.8057030245205,953.075613262022,1051.3772065314618,41.29711390993736,240.0805615857143,233.2948611122449,246.6595974846939,5.764174147138215,2.5267820978700524,2.3990841955279985,2.646529199393708,0.10395319313978926,102.0778395489796,89.94599389285715,115.72728847959182,10.135369172626156,0.488265306122449,0.4770408163265306,0.5051020408163265,0.011773449754300317,999.167371117918,240.0805615857143,3.0,3.0,True,rank_stable
